title,tvmaze_id,genres,summary,runtime,average_runtime,premiered,language,status,network_country,rating_avg,rating_count,popularity,show_type,cast,characters,crew,episode_count,my_rating,watch_count,year_watched,tmdb_id,overview,tagline,poster_path,backdrop_path,vote_average,vote_count,first_air_date,last_air_date,number_of_seasons,number_of_episodes,processing_status
The Big Bang Theory,66,Comedy,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,30,30,39349,English,Ended,United States,8,,99,Scripted,Johnny Galecki|Jim Parsons|Simon Helberg|Kunal Nayyar|Kaley Cuoco|Melissa Rauch|Mayim Bialik|Kevin Sussman|Laura Spencer|Sara Gilbert,Leonard Leakey Hofstadter|Sheldon Lee Cooper|Howard Joel Wolowitz|Rajesh Ramayan Koothrappali|Penny|Bernadette Marianne Rostenkowski|Amy Farrah Fowler|Stuart Bloom|Emily Sweeney|Leslie Winkle,Andrew Gordon|Tim Doyle|Chuck Lorre|Chuck Lorre|Bill Prady|Bill Prady|Lee Aronsohn|Lee Aronsohn|Steven Molaro|Steven Molaro|Steven Molaro|Steven Molaro|Eric Kaplan|Eric Kaplan|Jim Reynolds|Jim Reynolds|Jim Reynolds|Jim Reynolds|Faye Oshima Belyeu|Faye Oshima Belyeu|Eddie Gorodetsky|Eddie Gorodetsky|Eddie Gorodetsky|Steve Holland|Steve Holland|Steve Holland|Steve Holland|Steve Holland|Maria Ferrari|Maria Ferrari|Maria Ferrari|Maria Ferrari|Maria Ferrari|Maria Ferrari|Peter Chakos|Peter Chakos|Peter Chakos|Peter Chakos|Peter Chakos|Mary T. Quigley|Mary T. Quigley|Kristy Cecil|Kristy Cecil|Kristy Cecil|Kelly Lee|Kelly Lee|David Litt|Jennifer Glickman|Stephen Engel|Richard Rosenstock|Ryan Berdan|Ryan Berdan|Ryan Berdan|Robinson Green|Robinson Green|Robinson Green|Robinson Green|Jay O'Connell|Anthony Rich|Michael Collier|Joe Bella|Toti Levine|Carol Anne Miller|Saladin K. Patterson|Kathy Nawabi|Mark Roberts|Don Foster|Robert Cohen|Jeremy Howe|Jeremy Howe|Jeremy Howe|Jeremy Howe|Jeremy Howe|Nicole Lorre|Nicole Lorre|Adam Faberman|Adam Faberman|Howard Murray|Anthony Del Broccolo|Anthony Del Broccolo|Anthony Del Broccolo|Anthony Del Broccolo|Anthony Del Broccolo|Anthony Del Broccolo|Tara Hernandez|Tara Hernandez|Tara Hernandez|Tara Hernandez|Tara Hernandez|Tara Hernandez|Gay Linvill|Ann Shea|Gregg Moscot|Julie Fleischer|Dave Goetsch|Dave Goetsch|Guy Distad|Sam W. Orender|Madeline Cripe|Steven V. Silver|John Shaffner|Kathy Oldham|Bob La Masney|Barenaked Ladies|Justin D. Hetzel|Justin D. Hetzel|Justin D. Hetzel|Charles Back|Charles Back|Charles Back|T. Ryan Brennan|Nikki Valko|Ken Miller|Tara Treacy|Tara Treacy|Francoise Cherry-Cohen|Francoise Cherry-Cohen|Scott L. London|Vikki McCarter|Linda Cowan|Faye Woods|Faye Woods|Sylvia Surdu|Bruce Peters|Charlie McDaniel|Peter Pappas|Todd Morris|Sara Markowitz|David Pearce|John Greene|Brian Scott George|Brian Scott George|Samantha Silver Philips|Chris Klausen|Chris Klausen|Linda Nieber|Jamie Hitchcock|Meghan Certo|Mark K. Samuels|Joseph Stafford|Scott Forbes|Peggy Nichols|Alexandra Barbone,279,2,2,2020,1418,Physicists Leonard and Sheldon find their nerd-centric social circle with pals Howard and Raj expanding when aspiring actress Penny moves in next door.,Smart is the new sexy.,https://image.tmdb.org/t/p/w500/ooBGRQBdbGzBxAVfExiO8r7kloA.jpg,https://image.tmdb.org/t/p/w500/7RySzFeK3LPVMXcPtqfZnl6u4p1.jpg,7.913,12123,2007-09-24,2019-05-16,12,279,COMPLETE
Brooklyn Nine-Nine,49,Comedy|Action|Crime,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.",30,30,41534,English,Ended,United States,8.1,,97,Scripted,Andy Samberg|Andre Braugher|Joe Lo Truglio|Stephanie Beatriz|Terry Crews|Melissa Fumero|Joel McKinnon Miller|Dirk Blocker|Chelsea Peretti,Jake Peralta|Raymond Holt|Charles Boyle|Rosa Diaz|Terry Jeffords|Amy Santiago|Norm Scully|Michael Hitchcock|Gina Linetti,Andy Samberg|Dan Goor|Dan Goor|David Miner|Craig Zisk|Luke Del Tredici|Luke Del Tredici|Laura McCreary|Laura McCreary|Prentice Penny|Prentice Penny|Norm Hiscock|Norm Hiscock|Marshall Boone|Marshall Boone|Michael Schur|Michael Schur|Phil Lord|Christopher Miller|Gil Ozeri|Lesley Arfin|Gabe Liedman|Gabe Liedman|Lakshmi Sundaram|Lakshmi Sundaram|Ryan Case|Madeline Walter|Madeline Walter|Morgan Sackett|Autumn Butler|Matt Murray|Matt Murray|Neil Campbell|Neil Campbell|Neil Campbell|Matt O'Brien|Matt O'Brien|Andy Bobrow|Andrew Guest|Andrew Guest|Carol Kolb|Carol Kolb|Carol Kolb|Carol Kolb|Matt Lawton|Matt Lawton|Tricia McAlpin|Tricia McAlpin|David Phillips|David Phillips|David Phillips|David Phillips|David Phillips|David Phillips|David Hyman|David Hyman|Brian Reich|Travis Gates|Travis Gates|Aeysha Carr|Ian Phillips|Lang Fisher|Lang Fisher|Matthew Nodella|Richard H. Prince|Richard H. Prince|Richard H. Prince|Phil Augusta Jackson|Phil Augusta Jackson|Phil Augusta Jackson|Phil Augusta Jackson|Phil Augusta Jackson|Justin Noble|Justin Noble|Justin Noble|Justin Noble|Justin Noble|Elizabeth Thinnes|Paul Welsh|Paul Welsh|Steve Day|Carl Tart|Jessica Polonsky|Ryan Neatha Johnson|Bill Freesh|Alan Decker|Allison Jones|Ben Harris|Kenneth Kobett|Vanessa Ramos|Vanessa Ramos|Tom Ragazzo|Cortney Carrillo|Cortney Carrillo|Cortney Carrillo|Cortney Carrillo|Juel Bestrop|Penny Harold|John W. Cook II|Chris Reeves|Barry Peterson|Kirston Mann|Kerri Drootin|Jason Tregoe Newman|Giovani Lampassi|Jeremy Reuben|Audrey Clark Austin|Audrey Clark Austin|Stephen Dudycha|Stephen Dudycha|Dan Marocco|Dan Marocco|Richard Weingart|Jason Gill|Tony Nahar|Kenny Roth|Carly Hallam Tosh|Carly Hallam Tosh|Alexis Wilkinson|Lamar Woods|Andrew Garrett Lange|Rick Page|Larry Mann|Linda Brachman|Sandra Montiel|Jess Dweck|Jess Dweck|Valdar Wilt|John Mattingly|Kevin Zelman|Evan Susser|Evan Susser|Van Robichaux|Van Robichaux|Marcy Jarreau|Marcy Jarreau|April Quioh|Erica Djafroodi|Alexis Jacks|Dewayne Perkins|Dewayne Perkins|Emily O'Brien|Jared Marshack|Stephanie Amante-Ritter|Tessa Phillips|Maureen Dunn|Maureen Dunn|Stephanie Rabinowitz|Danika Benton Wikke|Kathleen Leonard|Cara McCastlain|Terrie Velazquez Owen|Helen Marray-Finlay|Mary Ann Hennings|Brittany Jones|Gina Homan|Garry Allyn|Lorraine Martin,153,4,2,2020,48891,"A single-camera ensemble comedy following the lives of an eclectic group of detectives in a New York precinct, including one slacker who is forced to shape up when he gets a new boss.",The law. Without the order.,https://image.tmdb.org/t/p/w500/A3SymGlOHefSKbz1bCOz56moupS.jpg,https://image.tmdb.org/t/p/w500/wyspZaGs7CXceV3Ct7NJhcKNDkn.jpg,8.22,3766,2013-09-17,2021-09-16,8,152,COMPLETE
Gotham,11,Drama|Action|Crime,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",60,60,41904,English,Ended,United States,7.7,,100,Scripted,Ben McKenzie|Donal Logue|David Mazouz|Robin Lord Taylor|Cory Michael Smith|Sean Pertwee|Erin Richards|Camren Renee Bicondova|Morena Baccarin|Drew Powell|Jessica Lucas|Chris Chalk|John Doman|Jada Pinkett Smith|Maggie Geha|Michael Chiklis|Zabryna Guevara|Andrew Stewart-Jones|James Frain|Benedict Samuel|Victoria Cartagena|Alexander Siddig|Crystal Reed|Nick D'Agosto,"James Gordon|Detective Harvey Bullock|Bruce Wayne|Oswald ""Penguin"" Cobblepot|Edward Nygma|Alfred Pennyworth|Barbara Kean|Selina Kyle|Dr. Leslie Thompkins|Butch Gilzean / Solomon Grundy|Tabitha Galavan|Lucius Fox|Carmine Falcone|Fish Mooney|Ivy Pepper|Captain Nathaniel Barnes|Captain Sarah Essen|Crispus Allen|Theo Galavan|Jervis Tetch / Mad Hatter|Renee Montoya|Ra's al Ghul|Sofia Falcone|Harvey Dent",Denise Thé|Bruno Heller|Bruno Heller|Bruno Heller|Danny Cannon|James Stephens|Annabelle K. Frost|Annabelle K. Frost|Robert Hull|Ben Edlund|Steven Lilien|Bryan Wynbrandt|John Stephens|Ken Woodruff|Ken Woodruff|Rebecca Dameron|Rebecca Cutter|Rebecca Cutter|Jordan Harper|Jim Barnes|Mark C. Baldwin|John Ganem|Kim Newton|Tze Chun|Scott White|Scott White|Charlie Huston|Richard Berg|Crescenzo Notarile|Thomas J. Whelan|Thomas J. Whelan|Thomas J. Whelan|Scott Kevan|Sharon Bialy|Sherry Thomas|Gohar Gazazyan|David Stockton|Christopher Norr|Barrie Wise|Leland Sexton|Peter Blake|Beth Bowling|Kim Miscia|Michael Rios|David Russo|Ashley Revell|George Haddad|Yuri Reese|William Smith|Sarah C. Reeves|Jason Ray King|Lisa Meier Coll|Erika McGowan|Nick Gereffi|Thomas K. Lee|Brendan C. Lynch|Daniel Novotny|Kevin Ward,100,3,1,2020,60708,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?","Before Batman, there was Gotham.",https://image.tmdb.org/t/p/w500/4XddcRDtnNjYmLRMYpbrhFxsbuq.jpg,https://image.tmdb.org/t/p/w500/rbDFI2I1nMyJtX4Y3jJ4H1QRdRX.jpg,7.596,3594,2014-09-22,2019-04-25,5,100,COMPLETE
Young Sheldon,26020,Comedy|Family,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.",30,30,43003,English,Ended,United States,7.4,,99,Scripted,Iain Armitage|Raegan Revord|Montana Jordan|Zoe Perry|Lance Barber|Annie Potts|Jim Parsons|Matt Hobby|Wyatt McClure|Emily Osment,Sheldon Cooper|Missy Cooper|George Cooper Jr.|Mary Cooper|George Cooper Sr.|Connie Tucker|Sheldon|Pastor Jeff Hodgkins|Billy Sparks|Mandy McAllister,Jim Parsons|Chuck Lorre|Chuck Lorre|Bill Prady|Bill Prady|Steven Molaro|Steven Molaro|Eric Kaplan|Steve Holland|Maria Ferrari|Rob Ulin|Nick Bakay|Jon Favreau|Buzz Feitshans IV|Jeremy Howe|Steve Joe|Timothy Marx|Tara Hernandez|Hans van Doornewaard|Hans van Doornewaard|Tony Hicks|Connor Kilpatrick|Connor Kilpatrick|Connor Kilpatrick|Connor Kilpatrick|Connor Kilpatrick|David Bickel|John Debney|Jeff Cardoni|Nikki Valko|Ken Miller|Peter Pappas|Ansley Rix|Ansley Rix|Jaffar Mahmood|Yuri Reese|William Smith|Michael Ferdie|Kevin Edelman|Lou Thomas|Rick Norman|Ryan Davis|Leah Pablo|Alex Ayers|Brian Merken|Brian Merken|Todd Spiewak|Eric Norsoph|Stephanie Johnson|Jeff Carson|Joe Deveau|Nadiya Chettiar|Nadiya Chettiar|Nadiya Chettiar|Stephen Lim|Stephen Lim|David Helfand|David Helfand|Joseph P. Lucky|Michael Judd|Yael Glouberman|Yael Glouberman|Cali Pomes|Linda Bass|Marie Cheng|Marie Cheng|Marie Cheng|Niko Mason|Ruby Stillwater|Jeffrey Sheets|Stefanie Owens|Laura LaRocca|Mike Solano,141,2.5,1,2020,71728,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.","It all started with a big bang—or rather, in East Texas.",https://image.tmdb.org/t/p/w500/kidkbZRBGbsEIrX7pODRSKi9ipl.jpg,https://image.tmdb.org/t/p/w500/nlDBlCtorM7nx130wYnfR5ZmyLX.jpg,8.047,2857,2017-09-25,2024-05-16,7,141,COMPLETE
The Boys,15299,Action|Fantasy|Adult,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,,62,43672,English,Running,United States,8.4,,100,Scripted,Karl Urban|Erin Moriarty|Antony Starr|Jessie T. Usher|Chace Crawford|Jack Quaid|Nathan Mitchell|Tomer Capone|Laz Alonso|Karen Fukuhara|Colby Minifie|Dominique McElligott|Claudia Doumit|Cameron Crovetti|Aya Cash|Elisabeth Shue|Jensen Ackles|Susan Heyward|Valorie Curry|Jeffrey Dean Morgan|Erin Moriarty,"William ""Billy"" Butcher|Annie January / Starlight|John / Homelander|Reggie Franklin / A-Train|Kevin / The Deep|Hughie Campbell|Black Noir|Serge / Frenchie|Marvin T. Milk / Mother's Milk|Kimiko / The Female|Ashley Barrett|Maggie Shaw / Queen Maeve|Victoria Neuman|Ryan|Stormfront|Madelyn Stillwell|Soldier Boy|Sister Sage|Firecracker|Joe Kessler|Shapeshifter Annie",Tig Fong|Eric Kripke|Eric Kripke|Philip Sgriccia|Philip Sgriccia|David Reed|Cory Bird|Pavun Shetty|Rebecca Sonnenshine|Rebecca Sonnenshine|Seth Rogen|Michael Saltzman|David MacLeod|Paul Grellong|Anne Cofell Saunders|George Mastras|Karl Urban|Anslem Richardson|Anslem Richardson|Neal H. Moritz|Evan Goldberg|Meredith Glynn|Eric Dawson|Carol Kritzer|Alex Newman|Robert J. Ulrich|Wade Barnett|Jeremy Benning|Hartley Gorenstein|Hartley Gorenstein|Christopher Lennertz|Jenny Lewis|Sara Kay|Garth Ennis|Garth Ennis|Garth Ennis|Jason Netter|Ori Marmur|Craig Rosenberg|Craig Rosenberg|Ken F. Levin|Daniel Stoloff|David Kaldor|David Kaldor|Nona Khodai|Alexandra Fehrman|Manish Raval|Tom Wolfe|Michaela Starr|Michaela Starr|Michaela Starr|Jessica Chou|Yvette Metoyer|Dave Blass|Christopher Brooks|Michelle Johnson|Darick Robertson|Darick Robertson|Darick Robertson|Arv Greywal|Michael Ground|Laura Jean Shannon|Cedric Nairn-Smith|Jeff Mossa|Dylan Macleod|Adam Bocknek|James Weaver|Amy Wright|Stefan Steen|Stefan Steen|Gabriel Garcia|Gabriel Garcia|Gabriel Garcia|Nick Barucci|Joyce Schure|Stephan Fleet|Stephan Fleet|Jeff Cutter|David Trachtenberg|Ellie Monahan|Ellie Monahan|Jackie Davies|Carrie Grace|Chris Newlin|B.E. Sharp|Andrew Palmer|Elliott Whittaker|Joanna Moore|Rich Weingart|Chelsey Warner|Gerrod Shully|Shalena Oxley-Butler|Katie Brennan|Karola Dirnberger|Jack Boem|Rebecca Gregg|Evans Brown,33,4,1,2020,76479,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,Never meet your heroes.,https://image.tmdb.org/t/p/w500/2zmTngn1tYC1AvfnrFLhxeD82hz.jpg,https://image.tmdb.org/t/p/w500/7cqKGQMnNabzOpi7qaIgZvQ7NGV.jpg,8.446,11464,2019-07-25,2024-07-18,5,40,COMPLETE
Chernobyl,30770,Drama|History,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,,70,43591,English,Ended,United States,8.9,,98,Scripted,Jared Harris|Stellan Skarsgård|Jessie Buckley|Emily Watson|Paul Ritter|Sam Troughton|Adam Nagaitis|Robert Emms|Adrian Rawlins|Con O'Neill|Alan Williams|Ralph Ineson|Mark Lewis Jones|David Dencik|Barry Keoghan|Fares Fares|Alex Ferns|Michael McElhatton,Valery Legasov|Boris Shcherbina|Lyudmilla Ignatenko|Ulana Khomyuk|Anatoly Dyatlov|Alexandr Akimov|Vasily Ignatenko|Leonid Toptunov|Nikolai Fomin|Viktor Bryukhanov|KGB First Deputy Chairman Charkov|General Tarakanov|Colonel General Pikalov|Michail Gorbatchev|Pavel Yefremov|Bacho|Andrei Glukhov|Prosecutor Andrei Stepashin,Jane Featherstone|Johan Renck|Carolyn Strauss|Robert Sterne|Gabriel Silver|Simon Smith|Daniel Parker|Daniel Parker|Sanne Wohlenberg|Nina Gold|Craig Mazin|Craig Mazin|Chris Fry|Jakob Ihre|Luke Hull|Hildur Guđnadóttir|Odile Dicks-Mireaux|Rob How|Lindsay McFarlane|Jinx Godfrey,5,5,2,2020,87108,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,What is the cost of lies?,https://image.tmdb.org/t/p/w500/hlLXt2tOPT6RRnjiUmoxyG1LTFi.jpg,https://image.tmdb.org/t/p/w500/3URK0z9PzpVNJrGE7XOuyy6KFzk.jpg,8.696,7370,2019-05-06,2019-06-03,1,5,COMPLETE
Marvel's Daredevil,1369,Drama|Action|Crime,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,,55,42104,English,Ended,United States,8.4,,99,Scripted,Charlie Cox|Deborah Ann Woll|Elden Henson|Vincent D'Onofrio|Jay Ali|Jon Bernthal|Stephen Rider|Ayelet Zurer|Wilson Bethel|Toby Leonard Moore|Elodie Yung|Bob Gunton|Vondie Curtis-Hall|Joanne Whalley|Rosario Dawson,"Matt Murdock / Daredevil|Karen Page|Franklin ""Foggy"" Nelson|Wilson Fisk / The Kingpin|Rahul ""Ray"" Nadeem|Frank Castle / The Punisher|Blake Tower|Vanessa Marianna|Benjamin ""Dex"" Poindexter|James Wesley|Elektra Natchios|Leland Owlsley|Ben Urich|Sister Maggie Grace|Claire Temple",Douglas Petrie|Douglas Petrie|Mark Verheiden|Joe Quesada|Stan Lee|Alan Fine|Jeph Loeb|John C. Kelley|Paul Gadd|Marco Ramirez|Marco Ramirez|Erik Oleson|Jim Dunn|Sam Ernst|Lauren Schmidt|Tom Lieber|Tom Lieber|Joe Pokaski|Drew Goddard|Drew Goddard|Dara Resnik Creasey|Jim Chory|Sneha Koorse|Keira Morrisette|Dan Buckley|Tamara Becher|Steven S. DeKnight|Daniel Hank|Karim Zreik|Karim Zreik|Alex Shevchenko|Michael Stricks|Megan Thomas Bradner|Cindy Holland|Kris Henigman|Allie Goss|Peter Friedlander|Luke Kalteux|Sonay Hoffman|Joe Barnett|Whit Anderson|Lewaa Nasserdeen|Laray Mayfield|Julie Schubert|Alison Engel|Emma Fleischer|Matthew O'Brien|Matthew O'Brien|Margaret Scarpello|John Paesano|Greg Vines|Lauren Stephens|Adam Jenkins|James Sodini|Evan Perazzo|Evan Perazzo|Michael N. Knue|Stephanie Maslansky|Christopher LaVasseur|Devon Quinn|Holly Rymon|Tony Phillippe|Kelly Mahoney|Jonathan Shoemaker|Tonya Kong|Adam Scher|Elisabeth Vastola,39,5,2,2020,61889,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,Do not fear the dark. Become it.,https://image.tmdb.org/t/p/w500/u6tICVagGwukuFPr0qBUwOqCKSn.jpg,https://image.tmdb.org/t/p/w500/qsnXwGS7KBbX4JLqHvICngtR8qg.jpg,8.158,4941,2015-04-10,2018-10-19,3,39,COMPLETE
Marvel's The Punisher,16544,Drama|Action|Crime,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.,,54,43056,English,Ended,United States,8.4,,98,Scripted,Jon Bernthal|Amber Rose Revah|Ben Barnes|Jason R. Moore|Ebon Moss-Bachrach|Floriana Lima|Josh Stewart|Giorgia Whigham|Jaime Ray Newman|Michael Nathanson|Paul Schulze|Daniel Webber|Deborah Ann Woll,"Frank Castle / The Punisher|Dinah Madani|Billy Russo|Curtis Hoyle|David ""Micro"" Lieberman|Krista Dumont|John Pilgrim|Amy Bendix|Sarah Lieberman|Sam Stein|William Rawlins|Lewis Wilson|Karen Page","Christine Boylan|Joe Quesada|Stan Lee|Alan Fine|Jeph Loeb|Michael Jones-Morales|Paul Gadd|Bruce Marshall Romans|Bruce Marshall Romans|Dario Scardapane|Dario Scardapane|Gail Barringer|Jim Chory|Felicia D. Henderson|Steve Lightfoot|Steve Lightfoot|Keira Morrisette|Karim Zreik|Gerry Conway|Russell Denove|Megan Thomas Bradner|Cindy Holland|Kris Henigman|Allie Goss|Angela LaManna|Angela LaManna|Tyler Bates|Tirsa Hackshaw|Tim Mirkovich|William Yeh|John Romita, Jr|Joe Barnett|Laray Mayfield|Julie Schubert|Joe DeAngelis|Nate Hill|Margaret Scarpello|Lauren Stephens|Adam Jenkins|Manuel Billeter|Conor Kelly|Eric Yellin|Holly Rymon|Derek Peterson|Liza Schroeder|Mark Ambrose|Mark Ambrose|Laura Delahaye|Ross Andru|Joseph White|Ken Kristensen|Ken Kristensen|Lori Johnson|Scott Lazar|Sarah Fairchild|Sarah Fairchild|Bill Coleman|Scott P. Murphy|Cathleen McFadyen|Petr Hlinomaz|Michael Tuths|Jared Ian Goldman|Jared Ian Goldman|Trevor Penna|Francis Spieldenner|Chris Carpenter|Lorraine Z. Calvert|Michael Pitt",26,3.5,1,2020,67178,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.,The truth must be taken.,https://image.tmdb.org/t/p/w500/tM6xqRKXoloH9UchaJEyyRE9O1w.jpg,https://image.tmdb.org/t/p/w500/jBGjbSDRxOEudW9rmQbWDzJUKq9.jpg,8.136,2920,2017-11-17,2019-01-18,2,26,COMPLETE
Marvel's Luke Cage,2174,Action|Crime|Science-Fiction,"Given superstrength and durability by a sabotaged experiment, a wrongly accused man escapes prison to become a superhero for hire.",,58,42643,English,Ended,United States,7.2,,95,Scripted,Mike Colter|Simone Missick|Alfre Woodard|Theo Rossi|Rosario Dawson|Mustafa Shakir|Gabrielle Dennis|Eric LaRay Harvey|Mahershala Ali|Stephen Rider|Jessica Henwick|Finn Jones,"Luke Cage|Mercedes ""Misty"" Knight|Mariah Dillard|Hernan ""Shades"" Alvarez|Claire Temple|John ""Bushmaster"" McIver|Matilda ""Tilda"" Maybelline Johnson|William ""Diamondback"" Stryker|Cornell ""Cottonmouth"" Stokes|Blake Tower|Colleen Wing|Daniel Rand / Iron Fist",Akela Cooper|Akela Cooper|Joe Quesada|Stan Lee|Alan Fine|Jeph Loeb|Nathan Louis Jackson|Nathan Louis Jackson|Ryan Degard|Nicole Mirante-Matthews|Charles Murray|Cheo Hodari Coker|Cheo Hodari Coker|Paul McGuigan|Gail Barringer|Tom Lieber|Tom Lieber|Samantha Thomas|Christian Taylor|Jim Chory|Ian Stokes|Aida Croal|Aida Croal|Lori Slomka|Dan Buckley|Karim Zreik|Karim Zreik|Jason Horwitch|Cindy Holland|Kris Henigman|Roy Thomas|Tirsa Hackshaw|Season Kent|Tim Mirkovich|Gabe Hilfer|Joe Barnett|Laray Mayfield|Julie Schubert|Julie Schubert|Demian Resnick|Adam C. Banks|Alice Goss|Alison Engel|Matt Owens|Miklos Wright|Margaret Scarpello|Lauren Stephens|Adam Jenkins|Jonathan Chibnall|Stephanie Maslansky|Michael Brake|Archie Goodwin|George Tuska|John Romita|Jon Otazua|Scott P. Murphy|Petr Hlinomaz|Michael Tuths|Matthew Lopes|Adrian Younge|Ali Shahid Muhammad|Marie Lee,26,3,1,2020,62126,"Given superstrength and durability by a sabotaged experiment, a wrongly accused man escapes prison to become a superhero for hire.","Hero is your word, not mine.",https://image.tmdb.org/t/p/w500/6R62oGGufhsf6DiMknCi047N0b7.jpg,https://image.tmdb.org/t/p/w500/1zC6TJ4gQYQSjZUyZMeldxImqNg.jpg,6.924,1932,2016-09-30,2018-06-22,2,26,COMPLETE
Marvel's Jessica Jones,1370,Action|Crime|Science-Fiction,"After a tragic ending to her short-lived super hero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City.",,54,42328,English,Ended,United States,7.9,,97,Scripted,Krysten Ritter|Rachael Taylor|Eka Darville|Carrie-Anne Moss|David Tennant|J.R. Ramirez|Janet McTeer|Wil Traval|Benjamin Walker|Tiffany Mack|Jeremy Bobb|Mike Colter|Leah Gibson|Erin Moriarty|Sarita Choudhury|Terry Chen,"Jessica Campbell Jones|Patricia ""Trish"" Walker / Patsy|Malcolm Ducasse|Jeri Hogarth|Kilgrave / Kevin Thompson|Oscar Arocho|Alisa Jones|Will Simpson|Erik Gelden|Zaya Okonjo|Gregory Sallinger|Luke Cage|Inez Green|Hope Shlottmann|Kith Lyonne|Pryce Cheng","Jane Espenson|Raelle Tucker|Tim Iacofano|Tim Iacofano|Jenny Klein|Joe Quesada|Stan Lee|Alan Fine|Jeph Loeb|Hilly Hicks, Jr.|Hilly Hicks, Jr.|Hilly Hicks, Jr.|Howard Klein|Kiegan Downs|Stuart Martin|S.J. Clarkson|Liz Friedman|Tom Lieber|Samantha Thomas|Jim Chory|Melissa Rosenberg|Melissa Rosenberg|Scott Reynolds|Scott Reynolds|Aida Croal|Micah Schraft|Dan Buckley|Nancy Won|Lisa Randolph|Lisa Randolph|Gabe Fonseca|Jamie King|Jamie King|Jack Kenny|Dana Baratta|Karim Zreik|Alyson Evans|Brian Michael Bendis|Brian Michael Bendis|Brian Michael Bendis|Cindy Holland|Kris Henigman|Allie Goss|Chris McGeary|Chris A. Peterson|Edward Ricourt|Kerry Barden|Paul Schnee|Vicki Lemar|Sean Callery|Laray Mayfield|Julie Schubert|Kenneth Kobett|Matthew O'Brien|Margaret Scarpello|Manuel Billeter|Michael N. Knue|Jonathan Chibnall|Stephanie Maslansky|Matt McGinnis|Michael Gaydos|Devon Quinn|Darren Frankel|Holly Rymon|Tony Phillippe|Mark Ambrose|Jesse Harris|Jamie Vega Wheeler|Jonathan Shoemaker|Judy Rhee|Jennifer Barbot|Michael Tuths|J. Holtham|Toni Barton|Elisabeth Vastola|Joanna Levinger|Bob Newlan|Maurice Sessoms|Steve Kornacki",39,3,1,2020,38472,"After a tragic ending to her short-lived super hero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City.",Your powers can't save you.,https://image.tmdb.org/t/p/w500/paf9wL3mOW9LT3ZjRxXqJcjeMEv.jpg,https://image.tmdb.org/t/p/w500/g9ju2o4LioYYOyihBvf9lVX8XL.jpg,7.483,2504,2015-11-20,2019-06-14,3,39,COMPLETE
